T1
ID,r,p
A_24_P895687, -0.75671327689591805, 1.9132501017811575e-176
A_32_P21848, -0.7510471050613694, 2.198885139678219e-172
MCHR2, -0.74809322672471845, 2.6044509445994011e-170
AC112641.2, -0.74770937667100745, 4.8199084881723356e-170
A_32_P795813, -0.74645576725177543, 3.5704029308824599e-169
AC017096.1, -0.74050371740738918, 4.1012078545544478e-165
C13orf16, -0.73712687025027956, 7.3638047087639448e-163
PRSS16, -0.7359443354335482, 4.4491006074442236e-162
AC079341.1, -0.73505350213255782, 1.7138314435494647e-161

T2
ID,r,p
A_32_P227921, -0.31442893907860159, 3.7446761996109151e-23
PDK4, -0.30621212259431324, 5.5139688500449322e-22
HPR, -0.29447728865006456, 2.2199564198080373e-20
EGFR, -0.29231076419588609, 4.3114203390647842e-20
SHF, 0.28972814140030245, 9.4412404685851159e-20
CDH6, -0.28949453435916961, 1.0130883470849056e-19
CD24, 0.28945303333041272, 1.0258497479308445e-19
SPATA22, -0.28908648693877675, 1.1456721720496415e-19
IL1RAPL1, -0.28751879030478034, 1.8342535076121214e-19

T1/T2
ID,r,p
A_32_P151823, -0.56527957823410824, 5.541526756426392e-81
DOC2A, -0.56485334989332048, 7.7448526296943554e-81
NEUROD2, -0.5634085681165979, 2.4001951171874622e-80
SLC17A7, -0.56253555804217104, 4.7413509629262013e-80
KLK7, -0.5603916531277755, 2.5017108899052432e-79
CCKBR, -0.55086480182867881, 3.5085941734253913e-76
FGF1, 0.54459600610602843, 3.6401980240184921e-74
SLC30A3, -0.54226984814127255, 1.9879992461689407e-73
UNC5A, -0.53475158546499624, 4.3883428714872548e-71
