"","ID","Title","U","N1","AUC","P.Value","adj.P.Val"
"GO:0005840","GO:0005840","ribosome",1520825,197,0.591066829329149,5.54974921769769e-06,0.0175027745190717
"GO:0070126","GO:0070126","mitochondrial translational termination",719071,86,0.63477761142381,7.96370149454137e-06,0.0175027745190717
"GO:0006415","GO:0006415","translational termination",1273187,163,0.596484397875834,1.11410549232259e-05,0.0175027745190717
"GO:0070469","GO:0070469","respiratory chain",638795,76,0.637626867578596,1.70546236201823e-05,0.0175027745190717
"GO:0005746","GO:0005746","mitochondrial respiratory chain",586055,69,0.643987468696465,1.79598568377494e-05,0.0175027745190717
"GO:0070124","GO:0070124","mitochondrial translational initiation",695452,84,0.628449254303209,2.40131275923084e-05,0.0175027745190717
"GO:0070125","GO:0070125","mitochondrial translational elongation",695340,84,0.628348044850246,2.43450613369674e-05,0.0175027745190717
"GO:0000313","GO:0000313","organellar ribosome",576136,68,0.64234937341123,2.49920626164755e-05,0.0175027745190717
"GO:0005761","GO:0005761","mitochondrial ribosome",576136,68,0.64234937341123,2.49920626164755e-05,0.0175027745190717
"GO:0044455","GO:0044455","mitochondrial membrane part",1195125,154,0.592227712763427,4.0492516043222e-05,0.0222734633216976
"GO:0004866","GO:0004866","endopeptidase inhibitor activity",834934,156,0.408498017527173,4.15184740288799e-05,0.0222734633216976
"GO:0042611","GO:0042611","MHC protein complex",248538,26,0.722426983536415,4.33980423213436e-05,0.0222734633216976
"GO:0010934","GO:0010934","macrophage cytokine production",148689,14,0.801921085558959,4.5939238962727e-05,0.0222734633216976
"GO:0098803","GO:0098803","respiratory chain complex",517808,61,0.643226167894591,5.53247281460025e-05,0.0239336783620097
"GO:0022900","GO:0022900","electron transport chain",963424,122,0.601166110900341,5.83789774117984e-05,0.0239336783620097
"GO:0030165","GO:0030165","PDZ domain binding",724126,89,0.61783333518196,6.20910883333206e-05,0.0239336783620097
"GO:0022904","GO:0022904","respiratory electron transport chain",948056,120,0.601344699852844,6.455220246774e-05,0.0239336783620097
"GO:0061135","GO:0061135","endopeptidase regulator activity",877298,162,0.413517085605255,7.54507557104758e-05,0.0247063654540869
"GO:0033267","GO:0033267","axon part",1467205,194,0.578912459517301,7.86148288980687e-05,0.0247063654540869
"GO:0042605","GO:0042605","peptide antigen binding",253645,27,0.710018839034031,7.95811732653755e-05,0.0247063654540869
"GO:0010935","GO:0010935","regulation of macrophage cytokine production",138064,13,0.801835235357319,8.23153537261345e-05,0.0247063654540869
"GO:0044291","GO:0044291","cell-cell contact zone",544201,65,0.634603431889872,8.84578430543702e-05,0.0253431720350771
"GO:0030414","GO:0030414","peptidase inhibitor activity",891745,164,0.415264205910732,9.36383161497072e-05,0.0256609698561567
"GO:0005549","GO:0005549","odorant binding",417793,83,0.38206076678631,0.000103516724223193,0.0271860796991161
"GO:0004889","GO:0004889","acetylcholine-activated cation-selective channel activity",49502,16,0.233641066304184,0.00011284403089892,0.0275002983677751
"GO:1901861","GO:1901861","regulation of muscle tissue development",798485,100,0.606843745250038,0.000113439276148207,0.0275002983677751
"GO:0014704","GO:0014704","intercalated disc",451537,53,0.645177284190522,0.000129218627516282,0.0292323790292547
"GO:0006739","GO:0006739","NADP metabolic process",132631,32,0.313376587781642,0.000129859846552298,0.0292323790292547
"GO:0044304","GO:0044304","main axon",511162,61,0.634970441618003,0.000134672389976191,0.0292703473799976
"GO:0000315","GO:0000315","organellar large ribosomal subunit",282015,31,0.687779395517965,0.000148810910597057,0.0302566183707499
"GO:0005762","GO:0005762","mitochondrial large ribosomal subunit",282015,31,0.687779395517965,0.000148810910597057,0.0302566183707499
"GO:0032543","GO:0032543","mitochondrial translation",873155,111,0.598331274150853,0.000176085046795909,0.0346832515610818
"GO:0070382","GO:0070382","exocytic vesicle",1084462,141,0.586355100873373,0.000205404301263029,0.0392322215412385
"GO:0033189","GO:0033189","response to vitamin A",72285,20,0.273020849070857,0.000221096487313114,0.0406772486496582
"GO:0044391","GO:0044391","ribosomal subunit",1076045,140,0.585915209200009,0.000230292288465953,0.0406772486496582
"GO:0016202","GO:0016202","regulation of striated muscle tissue development",776975,98,0.60245564791266,0.000232330787147024,0.0406772486496582
"GO:1990204","GO:1990204","oxidoreductase complex",725675,91,0.605639139473726,0.00025188463765103,0.0429088884084984
"GO:1901863","GO:1901863","positive regulation of muscle tissue development",431053,51,0.639965140292507,0.000274400821997711,0.0455144310803045
"GO:0006414","GO:0006414","translational elongation",1428363,191,0.572307363138909,0.000294599526350196,0.047611815758597
"GO:0060076","GO:0060076","excitatory synapse",1454670,195,0.571066841755045,0.000322154441815387,0.0503258551644804
"GO:0042073","GO:0042073","intraciliary transport",230408,25,0.69646489836016,0.000337536433566048,0.0503258551644804
"GO:0098840","GO:0098840","protein transport along microtubule",230408,25,0.69646489836016,0.000337536433566048,0.0503258551644804
"GO:0010464","GO:0010464","regulation of mesenchymal cell proliferation",331062,38,0.659013456485389,0.000348725199623598,0.0503258551644804
"GO:0048488","GO:0048488","synaptic vesicle endocytosis",238079,26,0.692025741791461,0.000351546802425693,0.0503258551644804
"GO:0048634","GO:0048634","regulation of muscle organ development",786220,100,0.597522419820641,0.000382203928700142,0.0503258551644804
"GO:0004867","GO:0004867","serine-type endopeptidase inhibitor activity",459137,88,0.396162939186857,0.000385575614832196,0.0503258551644804
"GO:0032409","GO:0032409","regulation of transporter activity",1410520,189,0.571051249756583,0.000390602384555755,0.0503258551644804
