GenBank gi	Locus	Fold	Gene Name and/or Information
1377434_at	BG374415	30.73	Similar to membrane-type frizzled-related protein (LOC315597), mRNA
1368606_at	NM_030838	24.95	solute carrier organic anion transporter family, member 1a5
1388037_at	J05087	17.9	ATPase, Ca++ transporting, plasma membrane 3
1379281_at	AA892798	16.06	uterine sensitization-associated gene 1 protein
1369625_at	L07268	14.65	aquaporin 1
1376980_at	BF285539	12.88	Transcribed sequences
1375933_at	BM392116	12.87	UI-R-DO1-ckp-o-07-0-UI.s1 UI-R-DO1 Rattus norvegicus cDNA clone UI-R-DO1-ckp-o-07-0-UI 3', mRNA sequence.
1397185_at	BE102060	12.73	Transcribed sequences
1390532_at	AI013778	12.7	Transcribed sequence with weak  similarity to protein prf:2211222A (H.sapiens) 2211222A Na dicarboxylate cotransporter [Homo sapiens]
1379107_at	BF416861	11.35	Transcribed sequence with moderate similarity to protein ref:NP_003750.1 (H.sapiens)  solute carrier family 4, sodium bicarbonate cotransporter, member 4; sodium bicarbonate cotransporter 1
1374320_at	AI717113	11.05	coagulation factor 5
1367851_at	J04488	10.18	prostaglandin D2 synthase
1371922_at	AI169140	9.881	Transcribed sequences
1375823_at	BF392130	9.253	Transcribed sequences
1380168_at	BE102969	9.176	Similar to PEA3 (LOC360635), mRNA
1374122_at	BM386808	9.15	Similar to Myosin Vc (Myosin 5C) (LOC363101), mRNA
1384707_at	AI600020	9.118	Transcribed sequences
1386770_x_at	AW920063	8.929	Transcribed sequences
1389583_at	BF282712	8.869	Transcribed sequences
1392948_at	BI290737	8.6	Transcribed sequence with weak  similarity to protein ref:NP_058625.1 (H.sapiens)  chloride intracellular channel 5 [Homo sapiens]
1369020_at	NM_052983	8.519	solute carrier family 5, member 5
1387065_at	NM_080688	7.708	phospholipase C, delta 4
1381621_at	BF386153	7.351	UI-R-CA1-bba-f-02-0-UI.s1 UI-R-CA1 Rattus norvegicus cDNA clone UI-R-CA1-bba-f-02-0-UI 3', mRNA sequence.
1387179_at	NM_017142	7.242	adenylyl cyclase 8
1379855_at	BF413298	6.94	Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1384870_at	AW529061	6.605	Transcribed sequences
1375777_at	BF402633	6.436	Transcribed sequences
1370652_at	M55293	6.361	neurotrophic tyrosine kinase, receptor, type 2
1374172_at	AI010883	6.255	Transcribed sequences
1373790_at	AI045400	6.238	Transcribed sequence with moderate similarity to protein ref:NP_036245.1 (H.sapiens)  carbonic anhydrase XIV precursor; carbonic dehydratase [Homo sapiens]
1381010_at	BF412543	6.093	Transcribed sequences
1368981_at	NM_012825	6.022	aquaporin 4
1395070_at	AI136959	5.915	Transcribed sequences
1375465_at	BG374268	5.864	Similar to orthodenticle 2 isoform b; homeobox protein OTX2 (LOC305858), mRNA
1387791_at	AF201331	5.805	angiotensin 1 converting enzyme 1
1387476_at	NM_031730	5.784	potassium voltage gated channel, Shal-related family, member 2
1374930_at	BG378606	5.779	Transcribed sequences
1372095_at	BF281867	5.54	Similar to KIAA1161 protein (LOC366360), mRNA
1369772_at	M95413	5.519	glycine transporter 1
1397453_at	BM390792	5.498	UI-R-CN1-cjo-b-24-0-UI.s1 UI-R-CN1 Rattus norvegicus cDNA clone UI-R-CN1-cjo-b-24-0-UI 3', mRNA sequence.
1371910_at	BF397823	5.44	Transcribed sequences
1398739_at	BF400127	5.428	Transcribed sequences
1389193_at	BM388083	5.42	Transcribed sequences
